iter	Passed	Remaining
445	1219	1515
446	1222	1512
447	1225	1509
448	1227	1506
449	1230	1504
450	1233	1501
451	1235	1498
452	1238	1495
453	1241	1492
454	1243	1489
455	1246	1486
456	1248	1483
457	1251	1481
458	1254	1478
459	1256	1474
460	1259	1472
461	1261	1469
462	1264	1466
463	1266	1463
464	1269	1460
465	1271	1457
466	1274	1454
467	1276	1451
468	1279	1448
469	1282	1446
470	1284	1442
471	1287	1440
472	1290	1437
473	1293	1435
474	1295	1432
475	1298	1429
476	1301	1426
477	1304	1424
478	1307	1421
479	1309	1418
480	1312	1416
481	1315	1413
482	1318	1410
483	1320	1407
484	1323	1405
485	1325	1402
486	1328	1399
487	1331	1396
488	1334	1394
489	1337	1392
490	1340	1389
491	1342	1386
492	1345	1383
493	1348	1380
494	1350	1377
495	1353	1375
496	1356	1372
497	1359	1370
498	1362	1367
499	1365	1365
500	1368	1362
501	1370	1359
502	1373	1357
503	1377	1355
504	1380	1352
505	1382	1349
506	1385	1347
507	1389	1345
508	1391	1342
509	1394	1340
510	1398	1337
511	1400	1335
512	1404	1333
513	1407	1330
514	1410	1328
515	1413	1326
516	1416	1323
517	1420	1321
518	1423	1319
519	1426	1317
520	1429	1314
521	1433	1312
522	1436	1309
523	1439	1307
524	1442	1305
525	1445	1302
526	1448	1300
527	1452	1298
528	1455	1295
529	1458	1293
530	1462	1291
531	1465	1289
532	1469	1287
533	1472	1284
534	1476	1282
535	1479	1280
536	1482	1278
537	1485	1276
538	1489	1273
539	1492	1271
540	1496	1269
541	1499	1266
542	1502	1264
543	1504	1261
544	1508	1259
545	1511	1256
546	1515	1254
547	1518	1252
548	1521	1249
549	1524	1247
550	1527	1244
551	1531	1242
552	1534	1240
553	1537	1237
554	1540	1235
555	1544	1233
556	1547	1230
557	1550	1228
558	1553	1225
559	1557	1223
560	1560	1221
561	1563	1218
562	1566	1216
563	1569	1213
564	1572	1210
565	1575	1208
566	1579	1206
567	1583	1204
568	1586	1201
569	1589	1199
570	1592	1196
571	1596	1194
572	1599	1192
573	1603	1190
574	1607	1188
575	1611	1186
576	1614	1183
577	1617	1181
578	1620	1178
579	1624	1176
580	1627	1173
581	1631	1172
582	1635	1169
583	1638	1167
584	1642	1165
585	1645	1162
586	1649	1160
587	1652	1157
588	1655	1155
589	1659	1152
590	1663	1150
591	1666	1148
592	1670	1146
593	1673	1143
594	1676	1141
595	1679	1138
596	1682	1136
597	1685	1133
598	1688	1130
599	1691	1127
600	1695	1125
601	1698	1123
602	1701	1120
603	1705	1117
604	1707	1114
605	1710	1112
606	1713	1109
607	1716	1106
608	1719	1104
609	1723	1101
610	1726	1099
611	1730	1096
612	1733	1094
613	1736	1091
614	1740	1089
615	1743	1086
616	1746	1084
617	1749	1081
618	1753	1079
619	1756	1076
620	1759	1073
621	1762	1071
622	1765	1068
623	1768	1065
624	1771	1063
625	1774	1060
626	1778	1057
627	1781	1055
628	1785	1053
629	1788	1050
630	1791	1047
631	1794	1045
632	1797	1042
633	1801	1040
634	1805	1037
635	1808	1035
636	1812	1032
637	1815	1030
638	1818	1027
639	1821	1024
640	1824	1022
641	1827	1019
642	1831	1016
643	1834	1014
644	1837	1011
645	1840	1008
646	1845	1006
647	1848	1004
648	1851	1001
649	1855	998
650	1857	995
651	1860	993
652	1864	990
653	1867	988
654	1871	985
655	1874	983
656	1877	980
657	1881	977
658	1884	975
659	1888	972
660	1891	970
661	1894	967
662	1898	964
663	1901	962
664	1904	959
665	1908	957
666	1911	954
667	1914	951
668	1917	948
669	1920	945
670	1923	943
671	1927	940
672	1930	937
673	1933	935
674	1936	932
675	1939	929
676	1942	926
677	1945	923
678	1948	921
679	1951	918
680	1955	915
681	1958	913
682	1961	910
683	1964	907
684	1967	904
685	1970	901
686	1973	899
687	1976	896
688	1979	893
689	1982	890
690	1985	887
691	1989	885
692	1992	882
693	1995	879
694	1999	877
695	2002	874
696	2005	871
697	2008	869
698	2011	866
699	2014	863
700	2017	860
701	2020	857
702	2023	854
703	2027	852
704	2030	849
705	2033	846
706	2036	844
707	2040	841
708	2043	838
709	2046	835
710	2049	833
711	2052	830
712	2055	827
713	2058	824
714	2062	821
715	2065	819
716	2068	816
717	2072	813
718	2075	811
719	2078	808
720	2082	805
721	2085	802
722	2088	800
723	2091	797
724	2094	794
725	2097	791
726	2100	788
727	2102	785
728	2105	782
729	2108	779
730	2110	776
731	2113	773
732	2116	770
733	2119	768
734	2121	764
735	2124	761
736	2126	758
737	2129	755
738	2131	752
739	2134	749
740	2137	747
741	2140	744
742	2142	741
743	2144	738
744	2147	734
745	2149	731
746	2151	728
747	2154	725
748	2157	722
749	2159	719
750	2162	716
751	2164	713
752	2166	710
753	2168	707
754	2170	704
755	2172	701
756	2174	698
757	2176	695
758	2179	692
759	2181	688
760	2184	686
761	2186	682
762	2188	679
763	2191	676
764	2194	674
765	2196	671
766	2199	668
767	2201	665
768	2203	661
769	2205	658
770	2208	655
771	2211	653
772	2213	649
773	2215	646
774	2217	643
775	2219	640
776	2222	637
777	2224	634
778	2227	631
779	2229	628
780	2231	625
781	2233	622
782	2236	619
783	2238	616
784	2241	613
785	2243	610
786	2246	607
787	2248	604
788	2251	602
789	2253	598
790	2255	595
791	2258	593
792	2261	590
793	2263	587
794	2266	584
795	2268	581
796	2270	578
797	2272	575
798	2275	572
799	2277	569
800	2280	566
801	2281	563
802	2283	560
803	2285	557
804	2287	554
805	2290	551
806	2291	548
807	2293	545
808	2296	542
809	2299	539
810	2302	536
811	2305	533
812	2307	530
813	2309	527
814	2311	524
815	2313	521
816	2316	518
817	2318	515
818	2320	512
819	2322	509
820	2325	506
821	2327	503
822	2329	501
823	2332	498
824	2335	495
825	2337	492
826	2339	489
827	2341	486
828	2344	483
829	2346	480
830	2349	477
831	2352	474
832	2355	472
833	2359	469
834	2362	466
835	2365	464
836	2369	461
837	2372	458
838	2375	455
839	2378	453
840	2381	450
841	2384	447
842	2387	444
843	2390	441
844	2393	439
845	2397	436
846	2399	433
847	2402	430
848	2405	427
849	2408	425
850	2412	422
851	2415	419
852	2417	416
853	2421	413
854	2424	411
855	2427	408
856	2430	405
857	2433	402
858	2436	399
859	2439	397
860	2442	394
861	2444	391
862	2447	388
863	2450	385
864	2453	382
865	2457	380
866	2460	377
867	2463	374
868	2464	371
869	2466	368
870	2469	365
871	2472	362
872	2476	360
873	2479	357
874	2483	354
875	2487	352
876	2490	349
877	2494	346
878	2496	343
879	2500	340
880	2503	338
881	2505	335
882	2509	332
883	2512	329
884	2515	326
885	2518	324
886	2521	321
887	2525	318
888	2528	315
889	2531	312
890	2534	310
891	2537	307
892	2540	304
893	2543	301
894	2546	298
895	2549	295
896	2553	293
897	2556	290
898	2560	287
899	2563	284
900	2567	282
901	2570	279
902	2573	276
903	2577	273
904	2580	270
905	2583	268
906	2587	265
907	2590	262
908	2592	259
909	2595	256
910	2598	253
911	2602	251
912	2605	248
913	2608	245
914	2611	242
915	2614	239
916	2617	236
917	2621	234
918	2624	231
919	2627	228
920	2630	225
921	2633	222
922	2635	219
923	2638	217
924	2641	214
925	2644	211
926	2647	208
927	2649	205
928	2652	202
929	2655	199
930	2659	197
931	2662	194
932	2665	191
933	2668	188
934	2671	185
935	2674	182
936	2678	180
937	2681	177
938	2684	174
939	2686	171
940	2689	168
941	2691	165
942	2694	162
943	2697	160
944	2701	157
945	2704	154
946	2707	151
947	2711	148
948	2715	145
949	2718	143
950	2721	140
951	2724	137
952	2727	134
953	2730	131
954	2733	128
955	2737	125
956	2740	123
957	2743	120
958	2746	117
959	2749	114
960	2752	111
961	2755	108
962	2758	105
963	2761	103
964	2764	100
965	2768	97
966	2770	94
967	2773	91
968	2776	88
969	2779	85
970	2783	83
971	2786	80
972	2789	77
973	2792	74
974	2796	71
975	2799	68
976	2802	65
977	2805	63
978	2808	60
979	2812	57
980	2815	54
981	2818	51
982	2821	48
983	2824	45
984	2828	43
985	2831	40
986	2834	37
987	2837	34
988	2841	31
989	2846	28
990	2849	25
991	2852	23
992	2855	20
993	2859	17
994	2861	14
995	2864	11
996	2867	8
997	2870	5
998	2874	2
999	2877	0
