iter	Logloss
0	0.6676568604
1	0.6460773722
2	0.6266033936
3	0.6056239827
4	0.585846405
5	0.5646182251
6	0.5424684652
7	0.5230423991
8	0.5093795268
9	0.4915755717
10	0.4723748779
11	0.4544856262
12	0.437153422
13	0.4231947581
14	0.4095104218
15	0.3960598501
16	0.3840980021
17	0.3706624349
18	0.3591300201
19	0.3492280324
20	0.3377823385
21	0.326320165
22	0.317541097
23	0.3100357564
24	0.3004632568
25	0.2914868418
26	0.2832362111
27	0.2762673696
28	0.268498764
29	0.2605486552
30	0.2530503591
31	0.2448108419
32	0.2371380361
33	0.2304931132
34	0.2237902832
35	0.2175566864
36	0.2102003988
37	0.204885966
38	0.2000364431
39	0.1953687032
40	0.1891246796
41	0.184168307
42	0.1804391225
43	0.1755100632
44	0.1704316584
45	0.1656338374
46	0.1611172613
47	0.1567186991
48	0.1522864787
49	0.1488975525
50	0.1447207896
51	0.1414399465
52	0.1375196075
53	0.1338033676
54	0.1300549062
55	0.1271695328
56	0.124617157
57	0.1220876185
58	0.1197399775
59	0.1164086533
60	0.1136496735
61	0.1112565994
62	0.1090630849
63	0.1071724192
64	0.1048689334
65	0.1027735011
66	0.1008426793
67	0.09871911367
68	0.09668347677
69	0.09468780518
70	0.0927113088
71	0.09080351512
72	0.08926664988
73	0.0879374822
74	0.08656042735
75	0.08496238073
76	0.08306321462
77	0.0816292572
78	0.08030315399
79	0.07874816895
80	0.07706289927
81	0.0757093811
82	0.07428829193
83	0.07330897013
84	0.07202999751
85	0.07063838959
86	0.06951341629
87	0.06832719803
88	0.06740810394
89	0.06638678233
90	0.06545457204
91	0.0643946139
92	0.06336034139
93	0.06237169902
94	0.06152218501
95	0.0606603686
96	0.05983819962
97	0.05887933095
98	0.05800418854
99	0.05748349508
100	0.05661734899
101	0.05576824188
102	0.05508857727
103	0.054469045
104	0.05364777247
105	0.05290868441
106	0.05203961054
107	0.05135486921
108	0.0507572333
109	0.05028448741
110	0.04956412633
