id_commune;code_region;population_municipale;population_comptee_a_part;population_total
01275;84;2569;50;2619
01276;84;1624;27;1651
01277;84;117;2;119
01279;84;80;6;86
01280;84;138;1;139
01281;84;4483;170;4653
01282;84;258;6;264
01283;84;22456;479;22935
01284;84;694;13;707
01285;84;1229;30;1259
01286;84;951;38;989
01288;84;2717;55;2772
01289;84;6520;291;6811
01290;84;1273;32;1305
01291;84;842;7;849
01293;84;148;4;152
01294;84;886;16;902
01295;84;686;13;699
01296;84;420;8;428
01297;84;867;15;882
01298;84;150;2;152
01299;84;584;8;592
01301;84;2547;61;2608
01302;84;163;5;168
01303;84;1699;36;1735
01304;84;2924;53;2977
01305;84;2213;43;2256
01306;84;1641;64;1705
01307;84;836;21;857
01308;84;807;14;821
01309;84;85;0;85
01310;84;251;4;255
01311;84;44;0;44
01313;84;8711;239;8950
01314;84;1729;33;1762
01317;84;330;6;336
01318;84;726;17;743
01319;84;466;9;475
01320;84;3791;91;3882
01321;84;888;29;917
01322;84;4984;140;5124
01323;84;989;14;1003
01325;84;1032;18;1050
01328;84;597;4;601
01329;84;153;6;159
01330;84;182;6;188
01331;84;187;0;187
01332;84;779;23;802
01333;84;3369;59;3428
01334;84;658;9;667
01335;84;402;6;408
01336;84;1174;22;1196
01337;84;1311;27;1338
01338;84;1227;37;1264
01339;84;1463;43;1506
01342;84;554;11;565
01343;84;1793;41;1834
01344;84;5943;166;6109
01345;84;2266;34;2300
01346;84;858;19;877
01347;84;2035;63;2098
01348;84;2938;65;3003
01349;84;503;5;508
01350;84;2542;40;2582
01351;84;1571;26;1597
01352;84;583;6;589
01353;84;1700;28;1728
01354;84;13943;200;14143
01355;84;486;7;493
01356;84;208;5;213
01357;84;502;7;509
01358;84;429;3;432
01359;84;246;3;249
01360;84;1895;48;1943
01361;84;1577;48;1625
01362;84;786;15;801
01363;84;1772;70;1842
01364;84;756;7;763
01365;84;1162;20;1182
01366;84;1082;18;1100
01367;84;746;4;750
01368;84;838;15;853
01369;84;942;25;967
01370;84;1688;28;1716
01371;84;1242;29;1271
01372;84;444;5;449
01373;84;1023;30;1053
01374;84;1871;45;1916
01375;84;782;20;802
01376;84;3962;39;4001
01378;84;2645;54;2699
01379;84;760;11;771
01380;84;632;13;645
01381;84;921;18;939
01382;84;279;2;281
01383;84;1562;21;1583
01384;84;2188;33;2221
01385;84;985;23;1008
01386;84;1127;66;1193
01387;84;256;3;259
01388;84;1102;9;1111
01389;84;1834;43;1877
01390;84;1246;21;1267
01391;84;271;8;279
01392;84;656;27;683
01393;84;544;5;549
01396;84;977;13;990
01397;84;978;19;997
01398;84;1421;17;1438
01399;84;2107;51;2158
01400;84;139;3;142
01401;84;2167;71;2238
01402;84;652;20;672
01403;84;1295;41;1336
01404;84;135;2;137
01405;84;1280;29;1309
01406;84;174;1;175
01407;84;1002;18;1020
01408;84;661;12;673
01410;84;300;7;307
01411;84;273;6;279
01412;84;595;12;607
01415;84;499;6;505
01416;84;1014;11;1025
01418;84;1087;27;1114
01419;84;6021;176;6197
01420;84;1690;8;1698
01421;84;729;16;745
01422;84;1355;36;1391
01423;84;1124;21;1145
01424;84;1776;43;1819
01425;84;288;7;295
01426;84;2538;59;2597
01427;84;6920;164;7084
01428;84;126;1;127
01429;84;707;13;720
01430;84;619;12;631
01431;84;1227;30;1257
01432;84;323;2;325
01433;84;313;4;317
01434;84;472;10;482
01435;84;2157;69;2226
01436;84;481;11;492
01437;84;223;5;228
01439;84;99;4;103
01441;84;734;18;752
01443;84;4978;95;5073
01444;84;1196;17;1213
01445;84;615;21;636
01446;84;1548;37;1585
01447;84;1342;32;1374
01448;84;389;8;397
01449;84;759;14;773
01450;84;3717;67;3784
01451;84;6595;150;6745
01452;84;1132;24;1156
01453;84;710;23;733
01454;84;1112;21;1133
01456;84;71;2;73
01457;84;3181;59;3240
02001;32;502;11;513
02002;32;610;8;618
02003;32;1021;24;1045
02004;32;182;5;187
02005;32;380;8;388
02006;32;262;9;271
02007;32;122;1;123
02008;32;294;4;298
02009;32;534;6;540
02010;32;173;4;177
02011;32;1138;54;1192
02012;32;71;0;71
02013;32;386;9;395
02014;32;729;23;752
02015;32;72;1;73
02016;32;216;9;225
02017;32;323;4;327
02018;32;2574;53;2627
02019;32;362;5;367
02020;32;455;8;463
02021;32;84;3;87
02022;32;403;6;409
02023;32;102;3;105
02024;32;51;0;51
02025;32;367;2;369
02027;32;214;7;221
02028;32;2606;60;2666
02029;32;354;12;366
02030;32;257;4;261
02031;32;661;6;667
02032;32;253;4;257
02033;32;104;2;106
02034;32;121;4;125
02035;32;280;9;289
02036;32;72;1;73
02037;32;1386;30;1416
02038;32;59;0;59
02039;32;173;3;176
02040;32;180;3;183
