voie;id_bien;type_de_voie;id_no_voie
DE SAINTONGE;172;RUE;24
SAINT PAUL;173;RUE;8
DES BOULANGERS;174;RUE;30
DE BUCI;175;RUE;36
COGNACQ JAY;176;RUE;7
CLAUDE VELLEFAUX;177;AV;38
PLICHON;178;RUE;7
PHILIPPE AUGUSTE;179;AV;33
TRAVERSIERE;180;RUE;38
DE L ABBE CARTON;181;RUE;31
MARMONTEL;182;RUE;8
EMERIAU;183;RUE;22
LEGENDRE;184;RUE;62
MSTISLAV ROSTROPOVITCH;185;RUE;68
LEPIC;186;RUE;76
DUHESME;187;RUE;21
DAMREMONT;188;RUE;124
DES POISSONNIERS;189;RUE;89
DE TORCY;190;RUE;28
HENRI CHEVREAU;191;RUE;9
MICHEL DUBOSC;192;RUE;4
HENRY LEMONNIER;193;RUE;3
ROBERT DE THORIGNY;194;RUE;10
DU GENERAL DE GAULLE;195;RUE;19
REMY DUMONCEL;196;RUE;56
KONRAD ADENAUER;197;RUE;4
DU GENERAL DE GAULLE;198;AV;17
DE CHAMPAGNE;199;RUE;13
DU PETIT MARGAT;200;SQ;2
DU GAZON;201;CHE;2
LOUVIOT;202;RUE;17
DE VAUX;203;RUE;15
DU TEMPLE;204;RUE;2
DE POISSY;205;AV;113
DES AUBADES;206;SQ;8
DE LA SABOTTE;207;RES;9
DU JURANCON;208;SQ;1
LOUIS PASTEUR;209;RUE;3
LA GARENNE A BREFAUT;210;CITE;9003
DE L OCCIDENT;211;RUE;16
DES LILAS;212;RUE;29
DE L ESCOURCHE;213;CHE;71
DES GRAVIERS;214;BD;271
LE ST VINCENT;215;RES;9500
PIERRE DE COUBERTIN;216;AV;1
LES TROIS TOURS 2;217;RES;9733
DU LITTORAL;218;AV;5
FIEF DES COUTS;219;RUE;3
DU BAS RUET;220;RUE;46
JULES FERRY;221;RUE;38
DE COLMAR;222;RUE;1
DE CRONSTADT;223;RUE;24
DES 3 CHENES;224;RUE;43
LES BOIS DU CERF;225;RES;10
MONTTESSUY;226;RUE;5
D'AUTRICHE;227;ALL;4
D ORLEANS RN 20;228;RTE;50
DES ERABLES;229;ALL;10
ROBERT LEUTHREAU;230;AV;239
BERNARD JUGAULT;231;RUE;4
DES BOURGUIGNONS;232;RUE;26
DU R P CH GILBERT;233;RUE;12
CLAUDE MIVIERE;234;RUE;1
BELLEVUE;235;IMP;6
GALLIENI;236;RUE;197
ROBERT DOISNEAU;237;ALL;19
SAINT DENIS;238;RUE;11
FESSART;239;RUE;11
PAUL HENRY THILLOY;240;RUE;36
ROGER SALENGRO;241;AV;1162
HENRI BARBUSSE;242;AV;85
SAINT DENIS;243;RUE;273
PAUL BERT;244;RUE;9
VICTOR HUGO;245;RUE;21
DE LA SABLIERE;246;RUE;7
DES COLONNES;247;SQ;1
DE L'OUEST;248;RUE;6
DU GUE;249;RUE;7
DE LA BENARDE;250;RUE;11
RONSARD;251;SQ;12
LOUIS BLANC;252;RUE;7
DU MOUTIER;253;RUE;55
SADI CARNOT;254;RUE;77
ARTHUR RIMBAUD;255;RUE;4
KLEBER;256;RUE;24
DU COLONEL FABIEN;257;RUE;68
PAUL CARLE;258;RUE;18
DE TRUCY;259;RUE;15
MULATRESSE SOLITUDE;260;ALL;3
HALIFAX;261;RUE;4
ANQUETIL;262;RUE;6
DU BAC;263;AV;83
DU MOUTIER;264;RUE;16
PIERRE ET MARIE CURIE;265;RUE;1
DE DERRIERE LES JARDINS;266;ALL;7
DE LA JARRY;267;RUE;74
PAUL DEROULEDE;268;AV;27
DE LA BRIQUETERIE;269;RUE;4
DES CAPUCINES;270;RUE;1
DU PAPIER COUCHE;271;RUE;1
DES MARECHAUX;272;RUE;20
GEORGE SAND;273;RUE;76
DE L HORLOGE;274;PL;9003
DE VERDUN;275;RUE;17
DE BOIS LURETTE;276;CHE;6412
FERRI III;277;RUE;10
DE CUSIN;278;RTE;29
DU ROCHER;279;RUE;5
MARTIN BLEU DIEU;280;RUE;12
DU DOCTEUR ROUANET;281;AV;7
DE LA JUIVERIE;282;RUE;9
DE GEX;283;RUE;1
DE L'ABBE JOLIVET;284;RUE;140
DES MONGES;285;RUE;1
NOTRE-DAME;286;RUE;3
DU TROIS SEPTEMBRE;287;AV;56
GASTON DE FONTMICHEL;288;AV;114
DE SOSPEL;289;AV;55
DU SOLEIL;290;PROM;649
GOUNOD;291;RUE;17
CIMIEZ;292;BD;4
LES FEUILLATES;293;;
DE LA COOPERATIVE;294;RUE;17
GEN GALLIENI;295;AV;146
NVE DE LA REPUBLIQUE;296;RUE;2
GRUISSAN PORT;297;RES;1
DE LA BONANCE;298;PL;156
DE LA BIBLIOTHEQUE;299;RUE;2
DOCT SEVERIN ICARD;300;RUE;26
ANTOINE PIRRODI;301;RUE;3
DE LAVAUX;302;BD;432
DU COULET;303;CHEM;200
CHAVE;304;BD;294
BOMPARD;305;BD;62
CAPITAINE DESSEMOND;306;RUE;2
ROCCA;307;RUE;27
LE LANCIER;308;RES;1
MIREILLE LAUZE;309;BD;68
ROGER DELIENCOURT;310;AV;6
DE LA REPUBLIQUE;311;AV;4
JEAN JACQUES ROUSSEAU;312;RUE;15
D ESPAGNAC;313;RUE;5
DU GUESCLIN;314;PL;8
SUVERA TORTA;315;;6113
NEUF;316;CHE;5495
DE BRUNSWICK;317;RUE;163
DES LUPINS;318;IMP;74
DEMOISELLES DE GASCOGNE;319;RUE;4
PIERRE CURIE;320;BD;10
ARISTIDE DE SOUSA-MENDES;321;RUE;7
DE TOULOUSE;322;RTE;422
DE PESSAC;323;RUE;51
ANDRE LEROUX;324;RUE;12
VIEILLE TOUR;325;AV;16
DE LA GARONNE;326;RTE;6
DE LA FLANERIE;327;ALL;24
FRANCOISE GIROUD;328;RUE;94
GAL DE GAULLE;329;AV;8
PORT VAUBAN;330;RES;
CHARLES LE GOFFIC;331;AV;2
DUGUESCLIN;332;RUE;2
JEAN LURCAT;333;RUE;7
JEAN JAURES;334;CRS;42
DE VALMY;335;AV;3
ELISEE CHATIN;336;RUE;10
LES TERRASSES DE L ALPE I;337;RES;5519
FRANZ LISZT;338;RUE;1
SIMONE DE BEAUVOIR;339;RUE;2
DE LA VICTOIRE;340;PL;7
DES SERRES;341;RUE;11
DE LAREIGNE;342;CHE;220
DE LA GARE;343;AV;9
HELENE ET JACQUES SOLOMON;344;ALL;1
ALEXANDRE VIRO;345;PL;3
DE L ETANG;346;RTE;80
DU TREYVE;347;RUE;33
JOANNY AUGE;348;RUE;85
BERCHOUX;349;RUE;12
DES ECOLIERS;350;RUE;10
DU MOULIN A VENT PROLONGE;351;RUE;115
ST GILLES;352;RUE;33
CHARLES NUNGESSER;353;RUE;29
DE L HOTEL DIEU;354;IMP;2
OCEANIDES;355;BD;44
LOUISE MICHEL;356;RUE;5
GUSTAVE EIFFEL;357;RUE;28
DU LOIRET;358;AV;481
DE GAUCOURT;359;RUE;13
DE LA HAUTE CROIX;360;RUE;28
DU PRE PIGEON;361;RUE;63
DE LA MADELEINE;362;RUE;99
LE CARRE DES TOILES;363;;1
SAINT PIERRE;364;RUE;72
DES AUGUSTINS;365;RUE;2
CARNOT;366;PL;1
DU BOUCAU;367;RUE;17
DU RAIL;368;IMP;3
DE LA REPUBLIQUE;369;RUE;324
DES CLIGNETTES;370;RUE;2
SAINT EXUPERY;371;RUE;1
DE LA GRAVIERE;372;ALL;2
DU LOUP;373;CHE;9
DU PERRON;374;RUE;18
DE THIZY;375;RUE;437
IMBERT COLOMES;376;RUE;14
ROUX SOIGNAT;377;RUE;6
EUGENE PONS;378;RUE;49
EDOUARD DE LA BOUSSINIERE;379;PL;15
IMM ARCELLE 1;380;;5669
DU MONT PACCARD;381;AV;448
DE L AUTOMNE;382;RUE;116
NOTRE DAME DE NAZARETH;383;RUE;7
DE BRETAGNE;384;RUE;67
DU TEMPLE;385;RUE;22
LARREY;386;RUE;9
HUYSMANS;387;RUE;1
SAINT PLACIDE;388;RUE;62
DE RENNES;389;RUE;66
BONAPARTE;390;RUE;45
DES SAINTS PERES;391;RUE;27
DU FBG SAINT DENIS;392;RUE;139
DES PETITS HOTELS;393;RUE;32
DUBAIL;394;PAS;25
DE LA VILLETTE;395;BD;13
DE NEMOURS;396;RUE;6
RICHARD LENOIR;397;BD;15
MAILLARD;398;RUE;4
MAILLARD;399;RUE;4
DES BOULETS;400;RUE;9
DU BEL AIR;401;AV;11
LACUEE;402;RUE;16
DU MOULIN DES PRES;403;RUE;120
BOULARD;404;RUE;45
JONQUOY;405;RUE;41
JONQUOY;406;RUE;12
FIRMIN GILLOT;407;RUE;10
FONDARY;408;RUE;37
GEORGES MANDEL;409;AV;36
DUFRENOY;410;RUE;15
DE L ARC DE TRIOMPHE;411;RUE;11
DE TOCQUEVILLE;412;RUE;132
LEGENDRE;413;RUE;32
DE CHEROY;414;RUE;17
NOLLET;415;RUE;7
BRIDAINE;416;RUE;3
NOLLET;417;RUE;98
DOUDEAUVILLE;418;RUE;75
DE LA PLAINE;419;RUE;37
BRUSSEAU;420;SQ;2
GRANDE;421;RUE;24
DE BOURGOGNE;422;RUE;1
PAUL EMILE VICTOR;423;PL;3
DE PLEIN CIEL;424;ALL;120
DE L ALMONT;425;BD;41
DE LA CHARBONNIERE;426;RUE;38
DES GUETTES;427;CITE;5929
DE LA MARNE;428;RUE;17
RES LA FONTAINE SAINT MARC;429;;4
DE L AMIRAL MOUCHEZ;430;QUAI;2
MONTAIGNE;431;AV;1
DE SAINT GERMAIN;432;AV;57
DE SAINT GERMAIN;433;AV;57
CLAUDE MONET;434;ALL;26
DU GEN DE GAULLE;435;RUE;22
P MARTIN LUTHER KING;436;AV;2
JEAN JAURES;437;AV;6
REMONT;438;RUE;3
SAINT GERMAIN;439;RUE;23
DE MAYOCQ;440;RUE;77
DE LA COMEDIE;441;RUE;30
DE PIERREPLANE;442;BD;183
DU PORT;443;AV;22
DU CARMEL;444;AV;184
DU DOC PACCARD;445;RUE;57
DE L'OCEAN;446;BD;27
PIERRE LEROUX;447;RUE;22
CITE DU DOCTEUR BARRIERE;448;;636
MARIE MARVINGT;449;RUE;10
DES AULNES;450;RUE;15
CAROLINE RIER;451;RUE;4
DES FRANCS BOURGEOIS;452;RUE;2
DE FONTAINEBLEAU;453;BD;38
DES FAUVETTES;454;AV;69
FRANCOIS MOLE;455;AV;34
D ARGENTEUIL;456;AV;49
DU BAC;457;RUE;81
DU CHATEAU;458;RUE;97
DE LA REDOUTE;459;AV;21
GEORGES GUYNEMER;460;RUE;10
D ARGENTEUIL;461;AV;221
RASPAIL;462;RUE;35
AQUITAINE;463;CRS;867
DE LA REPUBLIQUE;464;BD;56
DE L ANCIENNE MAIRIE;465;RUE;2
D AUTEUIL;466;BD;35
ANATOLE FRANCE;467;AV;10
DES ROSES;468;RUE;3
VILLEBOIS MAREUIL;469;RUE;13
DES ACACIAS;470;RUE;12
ARISTIDE BRIAND;471;RUE;136
BARBES;472;RUE;5
BANES;473;RUE;15
SADI CARNOT;474;RUE;17
DE ZILINA;475;RUE;20
D ORLEANS;476;ALL;7
DU GAL H BERTIER;477;RUE;11
EDOUARD HERRIOT;478;AV;119
LUCIEN VOILIN;479;RUE;8
ESTIENNE D ORVES;480;RUE;115
