id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces;surface_terrain
13759;95176;Appartement;47,3;46;2;
13760;95199;Maison;111,76;104;5;
13761;95229;Appartement;65,26;66;4;
13762;95229;Appartement;54,36;54;3;
13763;95252;Maison;105,74;92;6;
13764;95268;Appartement;60,59;60;3;
13765;95306;Appartement;34,85;55;4;
13766;95424;Appartement;35,26;35;2;
13767;95424;Appartement;37,11;38;2;
13768;95428;Appartement;13,77;14;1;
13769;95500;Appartement;41,54;41;2;
13770;95500;Appartement;24,77;32;2;
13771;95563;Appartement;21,39;20;1;
13772;95572;Maison;67;67;3;
13773;95678;Appartement;90,32;75;4;
13774;95680;Maison;104,23;94;5;
13775;972209;Appartement;48,27;47;2;
13776;973302;Appartement;46,08;45;2;
13777;973304;Appartement;42,8;45;2;
13778;973309;Appartement;43,4;21;1;
13779;973309;Maison;56;40;3;
13780;973311;Appartement;71,85;72;3;
13781;06120;Appartement;28,34;30;1;
13782;11170;Maison;49,13;31;2;
13783;14715;Appartement;36,23;40;2;
13784;14754;Appartement;24,68;25;2;
13785;18279;Appartement;43,13;44;3;
13786;27681;Appartement;79,92;76;3;
13787;28229;Appartement;43,68;44;2;
13788;34079;Appartement;46,01;47;2;
13789;39470;Appartement;24,2;24;2;
13790;45208;Appartement;25,99;26;1;
13791;54323;Appartement;54,97;40;2;
13792;54521;Maison;81,22;84;4;
13793;60159;Appartement;51,5;50;2;
13794;60159;Appartement;71,84;68;3;
13795;65123;Appartement;35,48;35;2;
13796;66124;Appartement;36,05;38;2;
13797;72181;Appartement;40,85;41;1;
13798;75111;Appartement;24;28;2;
13799;75111;Appartement;17,06;15;1;
13800;76217;Appartement;38,3;37;2;
13801;77305;Appartement;21,5;20;1;
13802;77305;Appartement;75,58;80;4;
13803;78073;Appartement;29,19;30;2;
13804;78242;Maison;96,72;97;5;
13805;78643;Appartement;38,6;37;2;
13806;80333;Appartement;42,66;42;2;
13807;91223;Appartement;41,78;46;2;
13808;91223;Appartement;71,52;69;3;
13809;91691;Appartement;32,56;33;1;
13810;95288;Appartement;84,5;84;4;
13811;95585;Appartement;63,67;64;4;
13812;01143;Appartement;46,05;46;2;
13813;04242;Appartement;62,85;70;3;
13814;06004;Appartement;19,31;20;1;
13815;06010;Appartement;63,25;58;3;
13816;06019;Appartement;85,15;85;4;
13817;06027;Appartement;142,62;100;3;762
13818;06027;Appartement;51,58;52;2;
13819;06032;Appartement;14,53;14;1;
13820;06073;Appartement;24,96;25;1;
13821;06079;Appartement;68,82;81;3;
13822;06088;Appartement;20,77;126;5;
13823;06088;Appartement;15,85;17;1;
13824;06104;Appartement;28,33;28;1;
13825;06108;Maison;110,17;111;5;
13826;06155;Appartement;46,02;46;2;
13827;07010;Appartement;67,98;68;4;
13828;08409;Appartement;37,45;41;1;
13829;10387;Appartement;76,6;76;3;
13830;11145;Maison;36,45;35;2;
13831;11202;Appartement;34,61;36;2;
13832;11262;Maison;30,93;30;3;
13833;11266;Appartement;31,98;36;2;
13834;13005;Appartement;56,04;60;4;
13835;13045;Appartement;60,95;66;3;
13836;13201;Appartement;45,44;52;2;
13837;13201;Appartement;61,7;67;3;
13838;13201;Appartement;71,22;80;3;
13839;13201;Appartement;28,43;29;1;
13840;13202;Appartement;32,03;33;2;
13841;13202;Appartement;52,02;52;3;
13842;13203;Appartement;54,1;48;3;
13843;13204;Appartement;29,23;32;1;
13844;13204;Appartement;16,19;22;1;
13845;13206;Appartement;88,49;47;3;
13846;13206;Appartement;61,73;61;3;
13847;13209;Appartement;122,51;123;5;
13848;13209;Appartement;67,73;67;3;
13849;13209;Appartement;53,38;75;2;
13850;13213;Appartement;65,5;64;3;
13851;13214;Appartement;51,82;54;3;
13852;13215;Appartement;57,61;56;3;
13853;17421;Appartement;89,5;89;3;
13854;22032;Appartement;25,3;26;1;
13855;22278;Appartement;92,33;102;4;
13856;22278;Appartement;18,33;21;1;
13857;24520;Appartement;37,64;38;2;
13858;25056;Appartement;41,08;48;2;
13859;2A032;Appartement;32,12;32;2;
13860;2A247;Appartement;46,47;29;1;
13861;2A249;Appartement;70,38;70;3;
13862;30003;Maison;33,49;29;3;
13863;30062;Appartement;38,18;40;3;
13864;30189;Appartement;38,68;50;2;
13865;30206;Maison;44,95;45;2;
13866;31555;Appartement;101,41;101;4;
13867;33051;Appartement;27,72;28;1;
13868;33063;Appartement;39,42;39;2;
13869;33063;Appartement;116,5;117;4;
13870;33063;Appartement;33,62;36;2;
13871;33243;Appartement;35,64;35;2;
13872;33281;Appartement;66,04;67;3;
13873;33522;Appartement;23,21;24;1;
13874;33529;Appartement;25,34;25;1;
13875;33550;Maison;114,47;111;2;
13876;34003;Appartement;21,27;26;2;
13877;34032;Appartement;31,96;31;2;
13878;34108;Appartement;48,21;58;3;
13879;34108;Appartement;44,31;44;2;
13880;34157;Maison;50,57;44;2;
13881;34324;Maison;30,33;31;4;
13882;35012;Appartement;72,6;73;4;
13883;35055;Appartement;73,57;72;3;
13884;35095;Appartement;62,51;74;3;
13885;38185;Appartement;35,35;35;2;
13886;38185;Appartement;92,31;89;3;
13887;38185;Appartement;51,74;52;2;
13888;38229;Appartement;95,53;98;2;
13889;38239;Appartement;35,54;40;1;
13890;38553;Appartement;35,55;35;2;
13891;39362;Appartement;28,08;55;2;
13892;40209;Appartement;95,06;93;5;
13893;41047;Appartement;42,6;43;2;
13894;41295;Appartement;31,85;30;2;
13895;42147;Appartement;24,49;24;1;
13896;44020;Appartement;34;34;2;
13897;44049;Appartement;68,63;51;2;
13898;44109;Appartement;66,15;67;3;
13899;44169;Appartement;45,43;42;2;
13900;44184;Appartement;12,97;14;1;
13901;47323;Appartement;25,15;28;1;
13902;49007;Appartement;53,53;49;2;
13903;49007;Appartement;56,81;70;4;
13904;49355;Maison;56,43;63;2;
13905;50394;Appartement;50,02;54;2;
13906;51108;Appartement;35,1;39;1;
13907;51454;Appartement;51,62;51;2;
13908;54395;Appartement;113,73;115;4;
13909;54578;Appartement;57,17;60;3;
13910;56178;Appartement;71,7;71;3;
13911;59328;Appartement;84,4;86;4;
13912;59350;Appartement;28,3;29;2;
13913;59350;Appartement;64,59;72;3;
13914;59360;Appartement;41,04;41;2;
13915;59421;Appartement;89,01;82;4;
13916;59512;Appartement;78,61;78;4;
13917;59636;Appartement;39,2;38;2;
13918;59648;Appartement;42;42;2;
13919;60139;Appartement;83,07;86;4;
13920;60141;Appartement;49,28;48;2;
13921;60282;Appartement;33,38;35;1;
13922;63300;Appartement;69,1;70;3;
13923;64102;Appartement;87,19;85;4;
13924;65138;Appartement;65,46;80;3;
13925;65384;Appartement;89,25;89;4;
13926;65388;Appartement;32,18;32;1;
13927;66136;Appartement;70,3;70;3;
13928;69003;Appartement;74,18;81;3;
13929;69112;Appartement;84,9;84;4;
13930;69244;Appartement;94,78;94;4;
13931;69264;Appartement;89,24;89;4;
13932;69266;Appartement;74,69;76;3;
13933;69275;Appartement;59,31;59;3;
13934;69277;Maison;143,84;140;6;
13935;69386;Appartement;85,14;81;3;
13936;69389;Appartement;56,23;54;2;
13937;69389;Appartement;147,24;149;6;
13938;70550;Appartement;65,99;64;3;
13939;75102;Appartement;37,03;44;2;
13940;75103;Appartement;49,65;51;2;
13941;75104;Appartement;36,4;35;2;
13942;75104;Appartement;98,71;93;5;
13943;75105;Appartement;83,83;75;4;
13944;75106;Appartement;39,28;38;2;
13945;75106;Appartement;32,01;39;1;
13946;75107;Appartement;18,54;20;1;
13947;75108;Appartement;143,64;150;5;
13948;75109;Appartement;179,02;69;3;
13949;75109;Appartement;52,35;55;3;
13950;75110;Appartement;22,02;22;1;
13951;75110;Appartement;59,23;58;3;
13952;75111;Appartement;25,88;28;2;
13953;75111;Appartement;65,09;64;2;
13954;75111;Appartement;104,67;100;4;
13955;75111;Appartement;67,15;68;2;
13956;75112;Appartement;38,65;39;1;
13957;75114;Appartement;18,71;22;1;
13958;75114;Appartement;17,2;16;1;
13959;75114;Appartement;23,94;20;1;
13960;75115;Appartement;21,3;14;1;
13961;75115;Appartement;17,18;18;1;
13962;75115;Appartement;64,57;73;3;
13963;75115;Appartement;24,82;25;1;
13964;75115;Appartement;46,73;46;2;
13965;75116;Appartement;92,48;92;4;
13966;75117;Appartement;83,41;82;4;
13967;75117;Appartement;23,42;22;2;
13968;75117;Appartement;16,8;22;1;
13969;75117;Appartement;46,25;43;3;
13970;75117;Appartement;25,22;24;2;
13971;75118;Appartement;39,2;40;2;
13972;75118;Appartement;14,42;10;1;
13973;75119;Appartement;28,85;30;2;
13974;75120;Appartement;45,1;45;2;
13975;75120;Appartement;45,16;49;2;
13976;75120;Appartement;56,74;55;3;
13977;76217;Appartement;114,3;96;4;
13978;76540;Appartement;50,37;50;2;
13979;76552;Appartement;79,01;79;4;
13980;76575;Appartement;74,82;80;4;
13981;76711;Appartement;53,21;58;3;
13982;77014;Appartement;58,95;58;3;
13983;77058;Appartement;59,63;60;3;
13984;77083;Maison;105,21;103;4;
13985;77288;Appartement;19,57;18;1;
13986;77372;Appartement;57,07;52;3;
13987;77382;Maison;93,3;90;4;
13988;77449;Appartement;70,89;70;3;
13989;77464;Appartement;40,41;40;2;
13990;78005;Appartement;38,55;37;2;
13991;78073;Appartement;66;66;4;
13992;78158;Appartement;31,65;32;3;
13993;78172;Maison;84,12;86;1;
13994;78190;Maison;107,73;65;3;
13995;78208;Appartement;70,32;71;3;
13996;78208;Appartement;88,88;88;3;
13997;78314;Appartement;50,55;53;3;
13998;78327;Maison;67,73;76;4;
13999;78382;Appartement;57,45;60;2;
14000;78490;Maison;85,33;89;2;
14001;78502;Appartement;87;83;4;
14002;78517;Appartement;72,43;73;3;
14003;78586;Appartement;55,01;55;2;
14004;80001;Appartement;42,2;55;2;
14005;82121;Appartement;30,9;30;1;
14006;82190;Appartement;77,09;60;3;
