code_region;code_departement;id_commune;nom_commune
84;01;01202;LAGNIEU
84;01;01203;LAIZ
84;01;01204;LALLEYRIAT
84;01;01205;LANCRANS
84;01;01206;LANTENAY
84;01;01207;LAPEYROUSE
84;01;01208;LAVOURS
84;01;01209;LEAZ
84;01;01210;LELEX
84;01;01211;LENT
84;01;01212;LESCHEROUX
84;01;01213;LEYMENT
84;01;01214;LEYSSARD
84;01;01215;LHOPITAL
84;01;01216;LHUIS
84;01;01217;LILIGNOD
84;01;01218;LOCHIEU
84;01;01219;LOMPNAS
84;01;01220;LOMPNES
84;01;01221;LOMPNIEU
84;01;01222;LONGECOMBE
84;01;01223;LOYES
84;01;01224;LOYETTES
84;01;01225;LURCY
84;01;01226;LUTHEZIEU
84;01;01227;MAGNIEU
84;01;01228;MAILLAT
84;01;01229;MALAFRETAZ
84;01;01230;MANTENAY MONTLIN
84;01;01231;MANZIAT
84;01;01232;MARBOZ
84;01;01233;MARCHAMP
84;01;01234;MARIGNIEU
84;01;01235;MARLIEUX
84;01;01236;MARSONNAS
84;01;01237;MARTIGNAT
84;01;01238;MASSIEUX
84;01;01239;MASSIGNIEU DE RIVES
84;01;01240;MATAFELON GRANGES
84;01;01241;MEILLONNAS
84;01;01242;MERIGNAT
84;01;01243;MESSIMY SUR SAONE
84;01;01244;MEXIMIEUX
84;01;01245;BOHAS MEYRIAT RIGNAT
84;01;01246;MEZERIAT
84;01;01247;MIJOUX
84;01;01248;MIONNAY
84;01;01249;MIRIBEL
84;01;01250;MISERIEUX
84;01;01251;MOENS
84;01;01252;MOGNENEINS
84;01;01253;MOLLON
84;01;01254;MONTAGNAT
84;01;01255;MONTAGNIEU
84;01;01256;MONTANAY
84;01;01257;MONTANGES
84;01;01258;MONTCEAUX
84;01;01259;MONTCET
84;01;01260;LE MONTELLIER
84;01;01261;MONTHIEUX
84;01;01262;MONTLUEL
84;01;01263;MONTMERLE SUR SAONE
84;01;01264;MONTRACOL
